,Symbol,LTP,% Change,Open,High,Low,Qty.
0,ACLBSL,700.1,-1.81,715.0,700.0,710.0,1114
1,ADBL,314.0,-0.79,322.8,311.8,322.8,15742
2,AHPC,256.5,-3.39,270.8,256.0,270.8,47216
3,AKJCL,169.4,-1.51,173.5,165.0,172.0,29186
4,AKPL,352.5,-1.54,366.0,352.0,363.0,32764
5,ALBSL,925.0,-0.75,943.0,905.0,920.0,1693
6,ALICL,455.1,-3.17,478.9,455.0,478.9,14015
7,API,210.0,-1.87,216.5,208.9,216.0,90190
8,AVYAN,730.0,-2.28,759.0,721.0,743.0,3358
9,BARUN,205.0,-1.91,212.0,205.0,209.0,3788
10,BBC,3304.0,0.0,3366.0,3200.0,3366.0,130
11,BFC,308.0,-1.91,320.0,304.0,318.0,14621
12,BHDC,327.9,-1.5,330.0,321.5,328.0,4309
13,BHL,244.0,-3.94,259.0,236.1,259.0,5339
14,BNHC,341.5,-3.37,358.0,341.5,347.1,1130
15,BNT,11910.0,0.87,12040.0,11900.0,12040.0,40
16,BPCL,302.0,-0.98,305.0,299.2,300.5,4268
17,CBBL,1065.0,-0.19,1090.0,1058.0,1087.0,8819
18,CBLD88,845.1,-1.38,845.1,845.1,845.1,50
19,CCBD88,853.4,-0.54,853.4,852.0,852.1,65
20,CFCL,306.9,-2.57,320.0,301.9,320.0,28913
21,CGH,990.2,-1.95,1015.0,990.0,990.1,1611
22,CHCL,368.0,-2.39,384.4,367.5,377.0,12801
23,CHDC,615.5,-1.83,628.0,615.4,621.0,5590
24,CHL,201.0,-2.9,208.0,199.0,205.0,4084
25,CIT,1849.1,-1.64,1905.0,1848.1,1905.0,5495
26,CLBSL,765.0,0.01,765.0,734.9,750.1,790
27,CMF1,7.93,-1.98,7.98,7.93,7.98,6850
28,CMF2,8.0,1.39,8.0,7.6,7.75,7600
29,CORBL,265.0,-3.64,280.5,265.0,280.5,3620
30,CZBIL,184.6,-0.86,189.8,183.0,189.8,40508
31,DDBL,915.0,-1.63,953.7,891.8,948.0,9061
32,DHPL,172.5,-0.86,177.3,171.0,177.3,2664
33,DORDI,233.0,-3.72,246.8,228.0,237.2,8526
34,EBL,522.9,-0.4,535.0,520.0,535.0,21021
35,EDBL,301.1,0.03,318.0,301.0,307.0,13980
36,ENL,583.0,-5.2,620.0,558.1,603.0,4692
37,FMDBL,642.0,-0.16,662.0,634.0,650.0,7439
38,FOWAD,2612.0,-1.62,2730.0,2610.0,2640.0,5240
39,GBBD85,750.4,-1.91,750.4,749.7,749.7,75
40,GBBL,381.9,0.24,386.0,379.0,386.0,41940
41,GBD80/81,962.2,0.23,962.2,960.0,960.0,200
42,GBLBS,589.0,-0.34,605.0,583.2,602.0,4101
43,GFCL,435.0,-2.66,455.8,435.0,439.0,9984
44,GHL,174.0,-2.25,182.0,172.2,180.9,10660
45,GIBF1,7.73,-0.9,7.8,7.66,7.8,1900
46,GILB,1152.1,-2.78,1193.0,1152.1,1165.1,1713
47,GIMES1,8.26,-0.48,8.4,8.26,8.3,2405
48,GLBSL,799.0,-2.56,821.4,791.0,804.0,726
49,GLH,237.6,-0.59,238.6,228.2,235.0,4065
50,GMFBS,804.0,0.37,811.0,800.0,800.0,192
51,GMFIL,310.0,-5.2,321.1,310.0,321.1,9282
52,GRDBL,225.0,-1.36,227.1,223.7,223.8,4827
53,GUFL,510.0,-3.59,540.6,509.0,525.1,52172
54,GVL,286.0,-1.35,295.5,275.7,290.0,10474
55,HBL,329.0,-1.79,340.0,328.5,335.0,9056
56,HDHPC,168.0,-2.89,174.5,168.0,173.0,103253
57,HDL,3498.0,-1.19,3609.0,3468.0,3609.0,9514
58,HEI,356.9,-1.41,369.0,350.0,369.0,19995
59,HEIP,237.4,-1.98,247.0,237.4,247.0,892
60,HHL,217.0,-0.46,218.0,207.5,218.0,6987
61,HIDCL,167.0,-1.82,173.0,165.5,172.0,60158
62,HIDCLP,97.2,-0.82,98.0,97.0,98.0,6130
63,HPPL,275.0,1.78,280.0,254.2,275.6,45775
64,HURJA,209.0,-2.34,215.0,207.0,215.0,1333
65,ICFC,426.0,-3.2,448.0,425.0,448.0,25253
66,IGI,348.0,-1.97,361.0,348.0,361.0,9910
67,ILBS,920.0,-2.65,962.0,915.0,962.0,965
68,JALPA,3453.0,-0.92,3485.0,3430.0,3485.0,5666
69,JBBL,270.1,-2.81,281.0,270.0,276.2,27801
70,JBLB,2636.0,-1.65,2690.0,2622.0,2690.0,4557
71,JFL,338.1,-3.4,357.0,335.0,343.0,12352
72,JOSHI,179.1,-3.45,189.0,178.0,185.4,12103
73,JSLBB,1640.0,-0.91,1688.1,1622.0,1622.0,571
74,KDBY,7.91,-0.63,8.1,7.9,7.9,3115
75,KEF,8.06,-0.49,8.1,8.0,8.1,25250
76,KKHC,174.0,-2.74,176.0,172.1,176.0,4238
77,KLBSL,782.0,-5.78,820.0,782.0,820.0,133
78,KMCDB,882.3,-0.75,906.0,865.0,889.0,1850
79,KPCL,306.0,-3.47,323.3,300.0,323.3,5331
80,KRBL,227.0,-1.3,235.6,225.0,227.1,15845
81,KSBBL,300.0,-1.25,309.8,299.3,309.8,37408
82,LBBL,344.8,-2.32,360.0,342.3,360.0,38200
83,LBL,205.1,-0.44,212.0,204.4,210.0,14817
84,LEC,209.4,-3.5,218.5,207.0,217.0,8663
85,LEMF,7.47,-1.32,7.57,7.43,7.43,17875
86,LICN,1322.0,-1.49,1368.0,1265.0,1368.0,9266
87,LLBS,1145.0,-0.43,1173.0,1128.0,1173.0,201
88,LUK,7.7,-1.91,7.85,7.7,7.85,8800
89,MBJC,208.0,-1.42,215.2,205.0,207.2,6880
90,MBL,220.0,-1.35,226.0,219.0,226.0,43355
91,MDB,373.0,-1.24,380.0,363.6,380.0,6036
92,MEN,746.0,-1.84,760.0,734.0,760.0,2779
93,MERO,755.1,-1.71,774.0,755.1,768.2,2507
94,MFIL,418.0,-1.18,437.0,411.7,431.0,18736
95,MHL,331.5,3.92,331.5,306.9,325.0,8525
96,MHNL,230.5,-2.74,237.0,225.0,234.0,15453
97,MKJC,390.0,-1.74,405.0,381.3,402.0,2230
98,MKLB,850.0,-2.41,870.0,850.0,856.0,514
99,MLBBL,1049.0,-1.14,1050.0,1040.0,1040.0,65
100,MLBL,343.0,-1.15,357.0,341.5,351.0,38755
101,MLBS,1067.0,-1.73,1105.0,1029.0,1105.0,1439
102,MLBSL,3905.0,-1.01,4000.0,3880.0,3945.0,1754
103,MMF1,7.37,0.0,7.37,7.24,7.24,5700
104,MMFDB,901.0,-4.45,950.0,900.0,943.0,1798
